,Time,Inde,Indi,Ind,mRNA1,Pep1,mRNA2,Pep2,mRNA3,Pep3
0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,0.5331304362307533,0.4668695637692463,0.9404469857669506,4.6104160640734106e-07,1.0145924538490904e-08,4.584361693755084e-06,1.511073969674762e-07,2.3119234230311656e-07,2.9462302284167797e-09
2,20.0,0.36053565068759064,0.6394643493124088,0.8844405330089641,9.366029254889852e-07,4.8021875534777694e-08,5.491510218855531e-06,4.2295881977869155e-07,1.084902429992783e-06,3.0536001436792617e-08
3,30.0,0.27161528931699574,0.7283847106830039,0.8317694333309543,1.2206685724530162e-06,1.050206578665165e-07,5.468285381368155e-06,7.069215958629459e-07,2.295793615588658e-06,1.0511716506467842e-07
4,40.0,0.21760642213545203,0.7823935778645478,0.7822350564033729,1.3858878210860824e-06,1.7241940793718825e-07,5.220843193481312e-06,9.762675087270225e-07,3.6174879731780493e-06,2.356372009599549e-07
5,50.0,0.1813916017011315,0.8186083982988682,0.7356506009315199,1.4878398996017773e-06,2.4531008724751363e-07,4.9300601757818416e-06,1.2252772137058022e-06,4.932955983693231e-06,4.2287839628078384e-07
6,60.0,0.15544838858952226,0.8445516114104774,0.6918403902008643,1.5555703540231232e-06,3.210793923310621e-07,4.641643277745632e-06,1.4535683450224963e-06,6.196335443626224e-06,6.641624550932927e-07
7,70.0,0.13596230889675054,0.8640376911032491,0.65063920957475,1.6035965773590117e-06,3.9827943580693923e-07,4.366553685327124e-06,1.662065356152902e-06,7.392014335004518e-06,9.55592222962219e-07
8,80.0,0.12079600902438369,0.8792039909756159,0.6118916834461554,1.6394412293891749e-06,4.760547163298002e-07,4.106855730965327e-06,1.8519660826556209e-06,8.516187291846372e-06,1.2929594478122706e-06
9,90.0,0.108660014442814,0.8913399855571856,0.575451689293736,1.6672565001840807e-06,5.538669781909982e-07,3.862368509651609e-06,2.024479495963616e-06,9.569558551712797e-06,1.6720912770786365e-06
10,100.0,0.09873076868230479,0.9012692313176948,0.5411818066328437,1.6894938470629196e-06,6.313596463953074e-07,3.6323755797834383e-06,2.1807617627348756e-06,1.0554565176321461e-05,2.088979537134671e-06
11,110.0,0.09045787778113257,0.9095421222188671,0.5089527987828765,1.7076915151809118e-06,7.082871623572195e-07,3.4160625624405716e-06,2.3219031429520404e-06,1.1474305714929543e-05,2.539827269592682e-06
