,x,y
0,0.0,1.0000000000000002e-06
1,10.0,1.686254027270706e-06
2,20.0,2.2766872169080705e-06
3,30.0,2.7849740698528168e-06
4,40.0,3.2224696392515838e-06
5,50.0,3.599058791640199e-06
6,60.0,3.923196010080781e-06
7,70.0,4.202161552105508e-06
8,80.0,4.4422717259360794e-06
9,90.0,4.6489365323880305e-06
10,100.0,4.826815986217162e-06
11,110.0,4.979918925269765e-06
12,120.0,5.111669115625145e-06
13,130.0,5.225059544506248e-06
14,140.0,5.322686219790928e-06
15,150.0,5.406718574682544e-06
16,160.0,5.4790468063114635e-06
17,170.0,5.541294976952358e-06
18,180.0,5.5948660027955695e-06
19,190.0,5.640980057189639e-06
20,200.0,5.6806709513339816e-06
21,210.0,5.7148345428625515e-06
22,220.0,5.744239271443911e-06
23,230.0,5.769548623931065e-06
24,240.0,5.791339411624487e-06
25,250.0,5.810091977990216e-06
26,260.0,5.826229394448246e-06
27,270.0,5.840119721131959e-06
28,280.0,5.852069397663062e-06
29,290.0,5.862358161861483e-06
30,300.0,5.871210771735293e-06
31,310.0,5.878833681980403e-06
32,320.0,5.885392483825655e-06
33,330.0,5.891039020278267e-06
34,340.0,5.895898250067227e-06
35,350.0,5.9000805705906014e-06
36,360.0,5.903680837666858e-06
37,370.0,5.9067789200035835e-06
38,380.0,5.9094464435658525e-06
39,390.0,5.911742062881701e-06
40,400.0,5.913720613316744e-06
41,410.0,5.915423022252973e-06
42,420.0,5.916884075820042e-06
43,430.0,5.918142295637145e-06
44,440.0,5.919224988117654e-06
45,450.0,5.920155196318611e-06
46,460.0,5.920957024408112e-06
47,470.0,5.921647906918747e-06
48,480.0,5.922242385046626e-06
49,490.0,5.922755230917287e-06
50,500.0,5.923196875329667e-06
51,510.0,5.923577849689543e-06
52,520.0,5.923903080638417e-06
53,530.0,5.924184240050139e-06
54,540.0,5.924425802717039e-06
55,550.0,5.924633354426322e-06
56,560.0,5.924811739336596e-06
57,570.0,5.924965748674676e-06
58,580.0,5.925098421311331e-06
59,590.0,5.9252123423782e-06
60,600.0,5.925310951288825e-06
