Time(min),0um,1.56um,3.1um,6.125um,12.5um,25um,50um,100um,500um,0umstd,1.56umstd,3.1umstd,6.125umstd,12.5umstd,25umstd,50umstd,100umstd,500umstd
250.0666667,0.499,0.501666667,0.500666667,0.504,0.512666667,0.510333333,0.518333333,0.535,0.524,0.006928203,0.005131601,0.005507571,0.004358899,0.007767453,0.013012814,0.011503623,0.006244998,0.006244998
260.0833333,0.521,0.526,0.524,0.527666667,0.535666667,0.534666667,0.546,0.564333333,0.553333333,0.00781025,0.004,0.006082763,0.004163332,0.007767453,0.013012814,0.011532563,0.005859465,0.006806859
270.0666667,0.544666667,0.547333333,0.546,0.550333333,0.558,0.557666667,0.572333333,0.594666667,0.582333333,0.008386497,0.006658328,0.007,0.005686241,0.008717798,0.012055428,0.010066446,0.006027714,0.004932883
280.0666667,0.568333333,0.570666667,0.568666667,0.570666667,0.58,0.579333333,0.599666667,0.625333333,0.612,0.009865766,0.006806859,0.006429101,0.005131601,0.007937254,0.012583057,0.010598742,0.006110101,0.005196152
290.0833333,0.588666667,0.592,0.590333333,0.591666667,0.601333333,0.600333333,0.626666667,0.655,0.64,0.009451631,0.007,0.006806859,0.005131601,0.008144528,0.013503086,0.012013881,0.006244998,0.006082763
300.0666667,0.610666667,0.613666667,0.612,0.612666667,0.623,0.622666667,0.654666667,0.684,0.667333333,0.009451631,0.006658328,0.006244998,0.004932883,0.008185353,0.013576941,0.012220202,0.007937254,0.007094599
310.0833334,0.632666667,0.636,0.634,0.635,0.645666667,0.645666667,0.683,0.714333333,0.695666667,0.01040833,0.00781025,0.007211103,0.004582576,0.007571878,0.013012814,0.011135529,0.007767453,0.006429101
320.0833333,0.654,0.658,0.655666667,0.656333333,0.667666667,0.668,0.711333333,0.744,0.724333333,0.011357817,0.008660254,0.008020806,0.005033223,0.007505553,0.013,0.01106044,0.008185353,0.005773503
330.0666667,0.673333333,0.677666667,0.675333333,0.676,0.687,0.687666667,0.737333333,0.771,0.75,0.011718931,0.009237604,0.007505553,0.004582576,0.007,0.012503333,0.010066446,0.008185353,0.006928203
340.0833334,0.694333333,0.699666667,0.696,0.697,0.708,0.71,0.765666667,0.8,0.778,0.011718931,0.009237604,0.007549834,0.004582576,0.00781025,0.013,0.010598742,0.007211103,0.007
