Time(min),Input00,Input01,Input10,Input11,Input00std,Input01std,Input10std,Input11std
470,2.60953E-07,1.72626E-05,1.04491E-05,2.24826E-05,2.25977E-08,8.32339E-07,5.16552E-07,9.41996E-07
480,2.75945E-07,1.76484E-05,1.07454E-05,2.31241E-05,9.59863E-09,8.17508E-07,5.54371E-07,1.02064E-06
490,2.97873E-07,1.78252E-05,1.10321E-05,2.36481E-05,2.36443E-08,9.1753E-07,5.13281E-07,1.07923E-06
500,2.99113E-07,1.80899E-05,1.13801E-05,2.41055E-05,1.47282E-08,8.93234E-07,5.37104E-07,1.06712E-06
510,3.13821E-07,1.83094E-05,1.17014E-05,2.45781E-05,3.36727E-08,8.12016E-07,6.42447E-07,1.11162E-06
520,3.25521E-07,1.85763E-05,1.20452E-05,2.5113E-05,1.49481E-08,7.42608E-07,6.19257E-07,1.19569E-06
530,3.21604E-07,1.87539E-05,1.23456E-05,2.57831E-05,2.69391E-08,7.86879E-07,6.58144E-07,1.19583E-06
540,3.62854E-07,1.89904E-05,1.26612E-05,2.63219E-05,3.62858E-08,7.86444E-07,6.11412E-07,1.46178E-06
550,3.58704E-07,1.90248E-05,1.29925E-05,2.67886E-05,2.25333E-08,7.50547E-07,5.91801E-07,1.52994E-06
560,3.84464E-07,1.91356E-05,1.33743E-05,2.70942E-05,1.43062E-08,6.77098E-07,5.93948E-07,1.53429E-06
570,3.84902E-07,1.91155E-05,1.37535E-05,2.72823E-05,2.25631E-08,7.632E-07,5.55168E-07,1.60824E-06
580,4.07099E-07,1.91211E-05,1.40547E-05,2.76632E-05,1.57833E-08,6.86872E-07,4.13635E-07,1.66525E-06
590,4.15077E-07,1.90436E-05,1.4481E-05,2.7793E-05,3.55246E-08,6.63596E-07,2.61418E-07,1.69833E-06
600,4.231E-07,1.89599E-05,1.48684E-05,2.82109E-05,1.91526E-08,7.22593E-07,3.00414E-07,1.69333E-06
610,4.39081E-07,1.88834E-05,1.51874E-05,2.82737E-05,1.66355E-08,6.11321E-07,2.40929E-07,1.84119E-06
620,4.32402E-07,1.87536E-05,1.55424E-05,2.85753E-05,2.7761E-08,5.61577E-07,1.60478E-07,1.99599E-06
630,4.43794E-07,1.86736E-05,1.59287E-05,2.87551E-05,2.27161E-08,5.749E-07,1.19256E-07,2.02023E-06
640,4.83749E-07,1.84442E-05,1.61703E-05,2.91588E-05,2.49234E-08,6.21098E-07,1.35247E-07,1.93667E-06
650,4.94315E-07,1.83938E-05,1.65949E-05,2.93351E-05,2.81717E-08,6.20168E-07,1.28321E-07,2.03134E-06
660,4.94659E-07,1.8139E-05,1.68366E-05,2.95501E-05,1.84772E-08,5.18652E-07,2.17591E-07,2.00526E-06
670,5.12066E-07,1.80247E-05,1.71566E-05,3.00719E-05,2.10248E-08,5.36633E-07,4.03853E-07,1.95787E-06
680,5.20479E-07,1.78366E-05,1.74666E-05,3.0302E-05,1.71884E-08,5.56957E-07,4.41312E-07,1.87783E-06
690,5.41703E-07,1.77367E-05,1.78654E-05,3.07643E-05,3.8495E-08,5.96122E-07,5.83585E-07,1.78829E-06
700,5.53611E-07,1.77283E-05,1.81729E-05,3.13466E-05,1.95295E-08,5.06943E-07,5.78947E-07,1.71663E-06
710,5.50637E-07,1.75541E-05,1.85569E-05,3.18922E-05,2.88674E-08,5.56034E-07,6.82429E-07,1.81968E-06
720,5.74997E-07,1.75288E-05,1.88535E-05,3.22607E-05,1.91536E-08,5.10225E-07,7.13E-07,2.02856E-06
