,Time,Inde,Indi,Ind,mRNA1,Pep1,mRNA2,Pep2,mRNA3,Pep3
0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,0.5331304362307535,0.4668695637692466,0.9404469857669506,0.0,0.0,0.0,0.0,0.0,0.0
2,20.0,0.3605356506875909,0.6394643493124091,0.8844405330089642,0.0,0.0,0.0,0.0,0.0,0.0
3,30.0,0.271615289316996,0.7283847106830041,0.8317694333309544,0.0,0.0,0.0,0.0,0.0,0.0
4,40.0,0.2176064221354522,0.782393577864548,0.7822350564033731,0.0,0.0,0.0,0.0,0.0,0.0
5,50.0,0.1813916017011316,0.8186083982988687,0.7356506009315202,0.0,0.0,0.0,0.0,0.0,0.0
6,60.0,0.1554483885895223,0.844551611410478,0.6918403902008644,0.0,0.0,0.0,0.0,0.0,0.0
7,70.0,0.1359623088967506,0.8640376911032497,0.65063920957475,0.0,0.0,0.0,0.0,0.0,0.0
8,80.0,0.1207960090243837,0.8792039909756165,0.6118916834461554,0.0,0.0,0.0,0.0,0.0,0.0
9,90.0,0.10866001444281399,0.8913399855571863,0.575451689293736,0.0,0.0,0.0,0.0,0.0,0.0
10,100.0,0.09873076868230476,0.9012692313176954,0.5411818066328437,0.0,0.0,0.0,0.0,0.0,0.0
11,110.0,0.0904578777811325,0.9095421222188679,0.5089527987828765,0.0,0.0,0.0,0.0,0.0,0.0
12,120.0,0.08345965494553083,0.9165403450544696,0.47864312549674143,0.0,0.0,0.0,0.0,0.0,0.0
13,130.0,0.07746316165238436,0.922536838347616,0.4501384846161665,0.0,0.0,0.0,0.0,0.0,0.0
14,140.0,0.0722680830324896,0.9277319169675107,0.42333138102057094,0.0,0.0,0.0,0.0,0.0,0.0
15,150.0,0.0677241068663421,0.9322758931336581,0.39812072124762393,0.0,0.0,0.0,0.0,0.0,0.0
16,160.0,0.06371625065762478,0.9362837493423753,0.3744114322536433,0.0,0.0,0.0,0.0,0.0,0.0
17,170.0,0.06015507534174898,0.9398449246582511,0.3521141028858413,0.0,0.0,0.0,0.0,0.0,0.0
18,180.0,0.056969961814290516,0.9430300381857096,0.3311446466920399,0.0,0.0,0.0,0.0,0.0,0.0
