,Time,Inde,Indi,Ind,mRNA1,Pep1,mRNA2,Pep2,mRNA3,Pep3
0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,0.5331304362307535,0.4668695637692466,0.9404469857669506,4.610416064073412e-07,1.0145924538490895e-08,4.584361693755084e-06,1.511073969674762e-07,2.3119234230311642e-07,2.9462302284167776e-09
2,20.0,0.3605356506875909,0.6394643493124091,0.8844405330089642,9.366029254889854e-07,4.8021875534777674e-08,5.491510218855531e-06,4.2295881977869144e-07,1.0849024299927825e-06,3.0536001436792583e-08
3,30.0,0.271615289316996,0.7283847106830041,0.8317694333309544,1.2206685724530165e-06,1.0502065786651644e-07,5.468285381368157e-06,7.069215958629455e-07,2.2957936155886565e-06,1.0511716506467824e-07
4,40.0,0.2176064221354522,0.782393577864548,0.7822350564033731,1.3858878210860826e-06,1.7241940793718817e-07,5.220843193481313e-06,9.762675087270219e-07,3.6174879731780467e-06,2.3563720095995458e-07
5,50.0,0.1813916017011316,0.8186083982988687,0.7356506009315202,1.4878398996017781e-06,2.453100872475135e-07,4.930060175781842e-06,1.2252772137058014e-06,4.93295598369323e-06,4.2287839628078337e-07
6,60.0,0.1554483885895223,0.844551611410478,0.6918403902008644,1.555570354023124e-06,3.2107939233106217e-07,4.641643277745633e-06,1.4535683450224961e-06,6.196335443626223e-06,6.641624550932926e-07
7,70.0,0.1359623088967506,0.8640376911032497,0.65063920957475,1.6035965773590125e-06,3.9827943580693944e-07,4.366553685327126e-06,1.6620653561529022e-06,7.392014335004518e-06,9.55592222962219e-07
8,80.0,0.1207960090243837,0.8792039909756165,0.6118916834461554,1.6394412293891761e-06,4.7605471632980073e-07,4.106855730965326e-06,1.8519660826556215e-06,8.516187291846379e-06,1.2929594478122719e-06
9,90.0,0.10866001444281399,0.8913399855571863,0.575451689293736,1.6672565001840815e-06,5.538669781909989e-07,3.862368509651609e-06,2.024479495963617e-06,9.569558551712802e-06,1.6720912770786386e-06
10,100.0,0.09873076868230476,0.9012692313176954,0.5411818066328437,1.6894938470629207e-06,6.313596463953082e-07,3.6323755797834383e-06,2.180761762734876e-06,1.055456517632147e-05,2.088979537134674e-06
11,110.0,0.0904578777811325,0.9095421222188679,0.5089527987828765,1.7076915151809131e-06,7.082871623572206e-07,3.4160625624405716e-06,2.3219031429520425e-06,1.1474305714929557e-05,2.5398272695926863e-06
12,120.0,0.08345965494553083,0.9165403450544696,0.47864312549674143,1.7228651893575937e-06,7.844757067420044e-07,3.212627260863508e-06,2.448927780699582e-06,1.2332105309712285e-05,3.021062782319048e-06
13,130.0,0.07746316165238436,0.922536838347616,0.4501384846161665,1.7357141682985678e-06,8.597999703516543e-07,3.021305958444289e-06,2.562796611305594e-06,1.3131323704203543e-05,3.529340234575297e-06
14,140.0,0.0722680830324896,0.9277319169675107,0.42333138102057094,1.7467362744766056e-06,9.341686808057918e-07,2.8413783136467736e-06,2.6644108914188015e-06,1.3875265769867573e-05,4.061534107505312e-06
15,150.0,0.0677241068663421,0.9322758931336581,0.39812072124762393,1.756296172019113e-06,1.007515145675867e-06,2.6721655171153525e-06,2.7546157767649727e-06,1.4567132319799258e-05,4.614730987274126e-06
16,160.0,0.06371625065762478,0.9362837493423753,0.3744114322536433,1.7646673237609252e-06,1.0797908617183805e-06,2.513031232338233e-06,2.834203578268875e-06,1.5210002657923732e-05,5.186219709126383e-06
17,170.0,0.06015507534174898,0.9398449246582511,0.3521141028858413,1.7720586845867056e-06,1.1509610665350592e-06,2.3633707322304796e-06,2.9039172952316936e-06,1.5806804698256167e-05,5.773481699587101e-06
18,180.0,0.056969961814290516,0.9430300381857096,0.3311446466920399,1.7786321476759548e-06,1.2210015583682708e-06,2.222627267346335e-06,2.964452868735944e-06,1.636035262726565e-05,6.37417927413466e-06
19,190.0,0.05410441639958139,0.9458955836004187,0.3114239848218364,1.7845191039537678e-06,1.2898961834129082e-06,2.0902600440464386e-06,3.016463205259126e-06,1.6873272224986245e-05,6.98614775867738e-06
20,200.0,0.05151271015046427,0.9484872898495358,0.2928777478092556,1.7898154430372451e-06,1.3576356328099621e-06,1.965780549489879e-06,3.060559289529939e-06,1.734810385173634e-05,7.607382202950888e-06
21,210.0,0.04915743069730523,0.9508425693026948,0.2754359951047059,1.7946260224622863e-06,1.424214573938048e-06,1.8487432582480311e-06,3.0973129765916225e-06,1.7787295369782436e-05,8.236028267699547e-06
22,220.0,0.047007682466294894,0.9529923175337052,0.25903295134915333,1.7990102086244518e-06,1.4896329982060447e-06,1.7385978618476175e-06,3.127265203705192e-06,1.8192792388427664e-05,8.870385912477511e-06
23,230.0,0.04503772015628946,0.9549622798437106,0.24360675829250222,1.8029325679422661e-06,1.5538975339929288e-06,1.6349874335025794e-06,3.1509161449008063e-06,1.8566762797902505e-05,9.508877499926472e-06
24,240.0,0.04322592275949374,0.9567740772405063,0.2290992415316745,1.8065766356802077e-06,1.6170083084652741e-06,1.5378592502051807e-06,3.1687227659436478e-06,1.8912317389940496e-05,1.01500174529189e-05
25,250.0,0.041553999409170005,0.9584460005908301,0.21545569112398175,1.8101544939651718e-06,1.6789661730598161e-06,1.4462337377592489e-06,3.1811501871304485e-06,1.922994743180321e-05,1.0792517621410672e-05
26,260.0,0.040006372523295926,0.9599936274767041,0.20262465526842924,1.813017146833872e-06,1.7398081098808953e-06,1.3593066562090431e-06,3.188629162877838e-06,1.951869338238103e-05,1.1435241408048392e-05
27,270.0,0.03856969323839143,0.9614303067616088,0.1905577462799499,1.8154887758794053e-06,1.7995332324615389e-06,1.2792009501253812e-06,3.191447156834846e-06,1.9787837194445336e-05,1.2076825046720151e-05
28,280.0,0.037232456341373614,0.9627675436586265,0.17920945810277206,1.8185482920322053e-06,1.8581153502917358e-06,1.20244854082318e-06,3.190092245496512e-06,2.003213920181724e-05,1.2716463339747802e-05
29,290.0,0.03598469307078721,0.964015306929213,0.16853699469508784,1.8212063631604049e-06,1.9156081897689055e-06,1.131411949212418e-06,3.1847955723631976e-06,2.0258595247181235e-05,1.3353043269007396e-05
30,300.0,0.034817723073928136,0.9651822769260721,0.1585001086475889,1.823309231731522e-06,1.972032551594683e-06,1.0637684942041664e-06,3.175955349172502e-06,2.046119449685857e-05,1.3985952997732e-05
31,310.0,0.033723952717428715,0.9662760472825714,0.1490609489472937,1.8255861484401641e-06,2.027374269845276e-06,1.0004628079432964e-06,3.163818560682894e-06,2.0647793904328197e-05,1.4614207753902873e-05
32,320.0,0.032696712177151005,0.9673032878228492,0.14018392353799405,1.8276407011975188e-06,2.081664825366994e-06,9.409008554435543e-07,3.1486752903734335e-06,2.081680530741491e-05,1.5237199100533622e-05
33,330.0,0.03173011494183094,0.9682698850581692,0.13183555253792628,1.8295657110096658e-06,2.13491634779769e-06,8.848706474124317e-07,3.130782783440228e-06,2.096976521017171e-05,1.585428230339294e-05
34,340.0,0.030818946930713097,0.969181053069287,0.12398434715677856,1.831330245842819e-06,2.1871461703834698e-06,8.322345792387124e-07,3.11037884947024e-06,2.1107843317693756e-05,1.6464885480418817e-05
35,350.0,0.029958575631439003,0.9700414243685612,0.11660069267742112,1.8329491575020584e-06,2.2383699507144707e-06,7.828853552391896e-07,3.087684633527579e-06,2.1232511131561893e-05,1.706848342477838e-05
36,360.0,0.029144879348990536,0.9708551206510097,0.10965676776216784,1.8346160578831457e-06,2.2885962681015707e-06,7.362541582284548e-07,3.0629250829054203e-06,2.1343919940555006e-05,1.766464764823415e-05
37,370.0,0.028374160236541972,0.9716258397634583,0.10312637458933475,1.8363045868159174e-06,2.3378425913895288e-06,6.91990650679424e-07,3.036303051050336e-06,2.144182047177534e-05,1.8253010994262595e-05
38,380.0,0.027643103412069287,0.972356896587931,0.09698488559168363,1.8376484656428463e-06,2.386140063090434e-06,6.507622186544378e-07,3.007967643425372e-06,2.1528982286104667e-05,1.8833153130222784e-05
39,390.0,0.026948726012805648,0.9730512739871946,0.09120913861540435,1.8384281963677928e-06,2.4335139014472173e-06,6.133880872396246e-07,2.978049907313742e-06,2.161010699483799e-05,1.9404631715697272e-05
40,400.0,0.026288339421072254,0.973711660578928,0.08577735916533455,1.8398982300171125e-06,2.4799300340836386e-06,5.767145567346214e-07,2.9468292632448635e-06,2.1677758223400572e-05,1.9967442164617034e-05
41,410.0,0.025659507838085245,0.9743404921619149,0.08066905890160488,1.8413787877537377e-06,2.5254320363803874e-06,5.418479963954327e-07,2.9144034955472507e-06,2.1735002848339922e-05,2.0521271635119273e-05
