,Time,Inde,Indi,Ind,mRNA1,Pep1,mRNA2,Pep2,mRNA3,Pep3
0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,0.5331304362307535,0.4668695637692466,0.9404469857669506,0.0,0.0,4.584361693755084e-06,1.511073969674762e-07,2.1925610264331455e-07,3.339310542669047e-09
2,20.0,0.3605356506875909,0.6394643493124091,0.8844405330089642,0.0,0.0,5.491510218855531e-06,4.2295881977869144e-07,9.889162219447584e-07,3.351493358517516e-08
3,30.0,0.271615289316996,0.7283847106830041,0.8317694333309544,0.0,0.0,5.468285381368157e-06,7.069215958629455e-07,2.028356451255047e-06,1.1246357600579628e-07
4,40.0,0.2176064221354522,0.782393577864548,0.7822350564033731,0.0,0.0,5.220843193481313e-06,9.762675087270219e-07,3.1160923697428605e-06,2.4687745011515266e-07
5,50.0,0.1813916017011316,0.8186083982988687,0.7356506009315202,0.0,0.0,4.930060175781842e-06,1.2252772137058014e-06,4.1602257557685765e-06,4.352915990655587e-07
6,60.0,0.1554483885895223,0.844551611410478,0.6918403902008644,0.0,0.0,4.641643277745633e-06,1.4535683450224961e-06,5.1314409865872665e-06,6.733064562159003e-07
7,70.0,0.1359623088967506,0.8640376911032497,0.65063920957475,0.0,0.0,4.366553685327126e-06,1.6620653561529022e-06,6.023851782808933e-06,9.557905027996341e-07
8,80.0,0.1207960090243837,0.8792039909756165,0.6118916834461554,0.0,0.0,4.106855730965326e-06,1.8519660826556215e-06,6.839295427026055e-06,1.2776526809252435e-06
9,90.0,0.10866001444281399,0.8913399855571863,0.575451689293736,0.0,0.0,3.862368509651609e-06,2.024479495963617e-06,7.581852559907276e-06,1.6340795340924907e-06
10,100.0,0.09873076868230476,0.9012692313176954,0.5411818066328437,0.0,0.0,3.6323755797834383e-06,2.180761762734876e-06,8.25607760538319e-06,2.0205924236193754e-06
11,110.0,0.0904578777811325,0.9095421222188679,0.5089527987828765,0.0,0.0,3.4160625624405716e-06,2.3219031429520425e-06,8.866460724365884e-06,2.433048455292199e-06
12,120.0,0.08345965494553083,0.9165403450544696,0.47864312549674143,0.0,0.0,3.212627260863508e-06,2.448927780699582e-06,9.417278173102174e-06,2.8676251100554456e-06
13,130.0,0.07746316165238436,0.922536838347616,0.4501384846161665,0.0,0.0,3.021305958444289e-06,2.562796611305594e-06,9.912558940836085e-06,3.3208010267549217e-06
14,140.0,0.0722680830324896,0.9277319169675107,0.42333138102057094,0.0,0.0,2.8413783136467736e-06,2.6644108914188015e-06,1.0356088253798951e-05,3.7893364547861992e-06
15,150.0,0.0677241068663421,0.9322758931336581,0.39812072124762393,0.0,0.0,2.6721655171153525e-06,2.7546157767649727e-06,1.0751415567912158e-05,4.270254695939506e-06
16,160.0,0.06371625065762478,0.9362837493423753,0.3744114322536433,0.0,0.0,2.513031232338233e-06,2.834203578268875e-06,1.110187341238318e-05,4.7608242684259735e-06
17,170.0,0.06015507534174898,0.9398449246582511,0.3521141028858413,0.0,0.0,2.3633707322304796e-06,2.9039172952316936e-06,1.1410574300890072e-05,5.258542945971444e-06
18,180.0,0.056969961814290516,0.9430300381857096,0.3311446466920399,0.0,0.0,2.222627267346335e-06,2.964452868735944e-06,1.1680463240810157e-05,5.761120746314058e-06
19,190.0,0.05410441639958139,0.9458955836004187,0.3114239848218364,0.0,0.0,2.0902600440464386e-06,3.016463205259126e-06,1.1914253249589613e-05,6.266468248642279e-06
20,200.0,0.05151271015046427,0.9484872898495358,0.2928777478092556,0.0,0.0,1.965780549489879e-06,3.060559289529939e-06,1.2114554070278293e-05,6.772678482270031e-06
21,210.0,0.04915743069730523,0.9508425693026948,0.2754359951047059,0.0,0.0,1.8487432582480311e-06,3.0973129765916225e-06,1.2283806960524007e-05,7.27801714165921e-06
22,220.0,0.047007682466294894,0.9529923175337052,0.25903295134915333,0.0,0.0,1.7385978618476175e-06,3.127265203705192e-06,1.2423990293312035e-05,7.78092188662545e-06
23,230.0,0.04503772015628946,0.9549622798437106,0.24360675829250222,0.0,0.0,1.6349874335025794e-06,3.1509161449008063e-06,1.2537459144877885e-05,8.279959729160149e-06
24,240.0,0.04322592275949374,0.9567740772405063,0.2290992415316745,0.0,0.0,1.5378592502051807e-06,3.1687227659436478e-06,1.2627044781389756e-05,8.77381362510298e-06
25,250.0,0.041553999409170005,0.9584460005908301,0.21545569112398175,0.0,0.0,1.4462337377592489e-06,3.1811501871304485e-06,1.2692746211629612e-05,9.261397859113357e-06
26,260.0,0.040006372523295926,0.9599936274767041,0.20262465526842924,0.0,0.0,1.3593066562090431e-06,3.188629162877838e-06,1.2735111877220052e-05,9.741720494098752e-06
27,270.0,0.03856969323830937,0.9614303067616907,0.1905577462799489,0.0,0.0,1.2792015298816384e-06,3.191447133535225e-06,1.2763187939334881e-05,1.0213573704400144e-05
28,280.0,0.03723245634137805,0.9627675436586222,0.17920945810279057,0.0,0.0,1.2024468299892208e-06,3.1900923142524845e-06,1.2768423065819948e-05,1.0676518751340643e-05
29,290.0,0.03598469307096703,0.9640153069290331,0.16853699469513347,0.0,0.0,1.131416839964135e-06,3.184795375810018e-06,1.2761226545199558e-05,1.1129484627522498e-05
30,300.0,0.03481772307437724,0.9651822769256229,0.15850010864777325,0.0,0.0,1.0637633675473877e-06,3.175955555204406e-06,1.2735364443691762e-05,1.1572122711614458e-05
31,310.0,0.03372395273591111,0.9662760472640891,0.14906094899395042,0.0,0.0,1.0004616510881222e-06,3.163818606788692e-06,1.2696976441255236e-05,1.200368708951744e-05
32,320.0,0.032696712179266306,0.9673032878207339,0.14018392353850231,0.0,0.0,9.409010008564112e-07,3.14867528452474e-06,1.2645521267918805e-05,1.2423762298867268e-05
33,330.0,0.031730114940011114,0.9682698850599891,0.13183555254490942,0.0,0.0,8.848705485035703e-07,3.1307827873610894e-06,1.2582217449164448e-05,1.2831931208278088e-05
34,340.0,0.030818946877039753,0.9691810531229604,0.12398434700993659,0.0,0.0,8.322358036949867e-07,3.1103788014771434e-06,1.2508415261024083e-05,1.3227833265041843e-05
35,350.0,0.029958575614955373,0.9700414243850448,0.11660069265371513,0.0,0.0,7.828830916602933e-07,3.0876847246939404e-06,1.2425552799309207e-05,1.361116118875608e-05
36,360.0,0.029144879332255076,0.9708551206677452,0.10965676773754157,0.0,0.0,7.362451305590845e-07,3.0629254459195117e-06,1.2332689050542874e-05,1.3981753305392193e-05
37,370.0,0.028374160212240214,0.97162583978776,0.1031263745506144,0.0,0.0,6.91988077024306e-07,3.0363031548065916e-06,1.2229517420471916e-05,1.4339470774280075e-05
38,380.0,0.02764310339286334,0.9723568966071369,0.09698488556020955,0.0,0.0,6.507743365102876e-07,3.007967156687228e-06,1.2120953604926272e-05,1.4684015677697742e-05
39,390.0,0.026948725996373192,0.973051274003627,0.09120913858361143,0.0,0.0,6.133943786379572e-07,2.9780496547351336e-06,1.2013513385613758e-05,1.5015066829016412e-05
40,400.0,0.02628833941541917,0.9737116605845808,0.0857773591665806,0.0,0.0,5.766521121981563e-07,2.9468317727918093e-06,1.189128115201284e-05,1.5333215477255183e-05
41,410.0,0.02565950783491819,0.9743404921650818,0.08066905890973827,0.0,0.0,5.418084904576272e-07,2.9144050831640355e-06,1.1762228396216599e-05,1.5638155337405006e-05
42,420.0,0.025060023913213048,0.974939976086787,0.07586497329218701,0.0,0.0,5.094377346054369e-07,2.880878856657261e-06,1.1630726305683565e-05,1.5929751094212243e-05
43,430.0,0.024487881479756373,0.9755121185202434,0.07134698536041614,0.0,0.0,4.789218583811051e-07,2.8464010251767467e-06,1.1494460541842974e-05,1.6208156152945227e-05
44,440.0,0.023941253331412095,0.9760587466685877,0.06709805892672152,0.0,0.0,4.503845571211529e-07,2.81108102901262e-06,1.1355544001285413e-05,1.6473376176992503e-05
45,450.0,0.023418471031144257,0.9765815289688556,0.06310216953563372,0.0,0.0,4.235427076589686e-07,2.7750365563523743e-06,1.1213341290951286e-05,1.6725547406448936e-05
46,460.0,0.02291800853390025,0.9770819914660995,0.05934424778142281,0.0,0.0,3.9831712580730137e-07,2.7383694791506315e-06,1.1068470549306088e-05,1.6964777693561356e-05
47,470.0,0.022438467071167582,0.9775615329288322,0.0558101211124604,0.0,0.0,3.745971808726479e-07,2.7011758047879884e-06,1.0921228449353316e-05,1.7191206130953844e-05
48,480.0,0.021978561728754113,0.9780214382712457,0.05248645605376816,0.0,0.0,3.5228749461131056e-07,2.663544283947246e-06,1.0771961210075068e-05,1.7404986460482826e-05
49,490.0,0.02153711173076209,0.9784628882692377,0.04936072180092573,0.0,0.0,3.31275278166364e-07,2.625558037281937e-06,1.062079153598989e-05,1.7606296318048664e-05
50,500.0,0.021113030016998657,0.9788869699830011,0.04642114020926709,0.0,0.0,3.115022074965329e-07,2.5872920878800282e-06,1.0468154302060462e-05,1.779531441817537e-05
51,510.0,0.020705311377255602,0.979294688622744,0.043656620005230615,0.0,0.0,2.929761756411541e-07,2.5488134314433736e-06,1.0314969452675436e-05,1.797221172716445e-05
52,520.0,0.02031302694928912,0.9796869730507106,0.041056734131454053,0.0,0.0,2.7564440888018836e-07,2.5101863353124863e-06,1.0161755995733725e-05,1.8137185177024365e-05
53,530.0,0.019935317066151013,0.9800646829338487,0.038611677470675114,0.0,0.0,2.592847474018663e-07,2.471477059496415e-06,1.0007770945060496e-05,1.8290490213679473e-05
54,540.0,0.019571384449051158,0.9804286155509486,0.036312227298447006,0.0,0.0,2.435108543203134e-07,2.4327539784802397e-06,9.851025255976438e-06,1.843243887518039e-05
55,550.0,0.019220491038736166,0.9807795089612635,0.03414972507542133,0.0,0.0,2.2867964839826012e-07,2.39405126537696e-06,9.693796845173785e-06,1.8563183576777645e-05
56,560.0,0.018881947525291678,0.9811180524747081,0.032116005712105836,0.0,0.0,2.1543518763542894e-07,2.3553878124356428e-06,9.541253160359005e-06,1.868276721991028e-05
57,570.0,0.018555113650214086,0.9814448863497857,0.030203400750493097,0.0,0.0,2.0296408318787395e-07,2.316837316235381e-06,9.388762169656742e-06,1.879162182448883e-05
58,580.0,0.018239392513558696,0.9817606074864412,0.028404697201361965,0.0,0.0,1.9059863074858705e-07,2.278464192880629e-06,9.232971932799123e-06,1.8890132485199047e-05
59,590.0,0.017934227119268894,0.982065772880731,0.026713111853892746,0.0,0.0,1.7928476602331837e-07,2.2402647956948574e-06,9.079752947445779e-06,1.8978327055713705e-05
60,600.0,0.017639097133071734,0.9823609028669282,0.02512226616854334,0.0,0.0,1.6860445112697134e-07,2.2022872899717615e-06,8.92708636811823e-06,1.905654353448624e-05
61,610.0,0.017353515765430906,0.982646484234569,0.023626160426676545,0.0,0.0,1.5857599260051311e-07,2.1645595125609955e-06,8.775448870336437e-06,1.912502383568579e-05
62,620.0,0.017077027193651673,0.9829229728063483,0.022219152192638404,0.0,0.0,1.4913301187541747e-07,2.12711008962111e-06,8.624754686998152e-06,1.918403263669403e-05
63,630.0,0.016809204235204177,0.9831907957647957,0.020895936340792686,0.0,0.0,1.402497220442924e-07,2.0899635680936923e-06,8.475178573274236e-06,1.9233824526893654e-05
64,640.0,0.016549645710613986,0.983450354289386,0.019651519364814657,0.0,0.0,1.318906662348966e-07,2.0531426393666675e-06,8.326773924297554e-06,1.9274658536829376e-05
65,650.0,0.01629797473635416,0.9837020252636458,0.018481204753002883,0.0,0.0,1.2404936341459613e-07,2.0166667106486585e-06,8.179786571669303e-06,1.9306785271835067e-05
66,660.0,0.016053838376740983,0.9839461616232591,0.01738059196994993,0.0,0.0,1.1672494063143932e-07,1.9805528658626422e-06,8.034533684573125e-06,1.9330451231645893e-05
67,670.0,0.01581690296552599,0.984183097034474,0.016345524275864592,0.0,0.0,1.0986901206950907e-07,1.944818397776521e-06,7.891088686241849e-06,1.9345910601543973e-05
68,680.0,0.015586854664772205,0.984413145335228,0.015372097937337426,0.0,0.0,1.0335952680380125e-07,1.909481802337971e-06,7.748961761093487e-06,1.935343765801272e-05
69,690.0,0.015363397551075075,0.984636602448925,0.014456641205738568,0.0,0.0,9.707298917434361e-08,1.8745600419982758e-06,7.607390363015651e-06,1.9353315211354294e-05
70,700.0,0.015146252576109473,0.9848537474238906,0.013595702846246997,0.0,0.0,9.089844159125904e-08,1.8400680761275481e-06,7.465282463789428e-06,1.934583673700651e-05
71,710.0,0.01493515585813565,0.9850648441418645,0.012786032984261706,0.0,0.0,8.465756920564635e-08,1.806022225837457e-06,7.3204795622011625e-06,1.9331335078164016e-05
72,720.0,0.014729858821127961,0.9852701411788722,0.012024585088927921,0.0,0.0,7.833654668585173e-08,1.772430840802084e-06,7.17189997867395e-06,1.9310097859156928e-05
