,Time,Inde,Indi,Ind,mRNA1,Pep1,mRNA2,Pep2,mRNA3,Pep3
0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,0.5331304362307535,0.4668695637692466,0.9404469857669506,4.610416064073412e-07,1.0145924538490895e-08,0.0,0.0,1.1936239659801842e-08,1.4570273911091087e-10
2,20.0,0.3605356506875909,0.6394643493124091,0.8844405330089642,9.366029254889854e-07,4.8021875534777674e-08,0.0,0.0,9.598620804802381e-08,2.6052479109126014e-09
3,30.0,0.271615289316996,0.7283847106830041,0.8317694333309544,1.2206685724530165e-06,1.0502065786651644e-07,0.0,0.0,2.674371643336096e-07,1.187657666119952e-08
4,40.0,0.2176064221354522,0.782393577864548,0.7822350564033731,1.3858878210860826e-06,1.7241940793718817e-07,0.0,0.0,5.013956034351861e-07,3.185120018051157e-08
5,50.0,0.1813916017011316,0.8186083982988687,0.7356506009315202,1.4878398996017781e-06,2.453100872475135e-07,0.0,0.0,7.727302279246516e-07,6.491942090224737e-08
6,60.0,0.1554483885895223,0.844551611410478,0.6918403902008644,1.555570354023124e-06,3.2107939233106217e-07,0.0,0.0,1.0648944570389568e-06,1.123127241641473e-07
7,70.0,0.1359623088967506,0.8640376911032497,0.65063920957475,1.6035965773590125e-06,3.9827943580693944e-07,0.0,0.0,1.3681625521955854e-06,1.7455279381997628e-07
8,80.0,0.1207960090243837,0.8792039909756165,0.6118916834461554,1.6394412293891761e-06,4.7605471632980073e-07,0.0,0.0,1.676891864820321e-06,2.517528641566955e-07
9,90.0,0.10866001444281399,0.8913399855571863,0.575451689293736,1.6672565001840815e-06,5.538669781909989e-07,0.0,0.0,1.987705991805526e-06,3.437904411602156e-07
10,100.0,0.09873076868230476,0.9012692313176954,0.5411818066328437,1.6894938470629207e-06,6.313596463953082e-07,0.0,0.0,2.298487570938283e-06,4.504030071053395e-07
11,110.0,0.0904578777811325,0.9095421222188679,0.5089527987828765,1.7076915151809131e-06,7.082871623572206e-07,0.0,0.0,2.6078449905636676e-06,5.712421403934957e-07
