,syn_mRNA1_1,syn_mRNA2_1,syn_mRNA3_1,deg_mRNA_1,syn_Pep_1,deg_Pep_1,Pepmax_1,Km_1,deg_Ind_1,state1_1,state2_1,syn_mRNA1_2,syn_mRNA2_2,syn_mRNA3_2,deg_mRNA_2,syn_Pep_2,deg_Pep_2,Pepmax_2,state1_2,state2_2,syn_mRNA1_3,syn_mRNA2_3,syn_mRNA3_3,deg_mRNA_3,syn_Pep_3,deg_Pep_3,Pepmax_3,Km_3,deg_Ind_3,Ratio_3,state1_3,state2_3
0,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.5,0.0,0.0
1,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.002,1e-06,40.0,0.005,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.5,0.0,0.0
2,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.00198564074195111,1e-06,40.0,0.005,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.5,0.0,0.0
3,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.00198564074195111,9.159335287530296e-07,40.0,0.005,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.5,0.0,0.0
4,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.00198564074195111,9.159335287530296e-07,38.014460811594894,0.005,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.5,0.0,0.0
5,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.00198564074195111,9.159335287530296e-07,38.014460811594894,0.004947535385448993,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.5,0.0,0.0
6,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.00198564074195111,9.159335287530296e-07,38.014460811594894,0.004947535385448993,0.0,0.0,5.203991556039874e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.5,0.0,0.0
7,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.00198564074195111,9.159335287530296e-07,38.014460811594894,0.004947535385448993,0.0,0.0,5.203991556039874e-07,5.030241657305731e-07,1e-07,0.1357,0.005,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.5,0.0,0.0
8,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.00198564074195111,9.159335287530296e-07,38.014460811594894,0.004947535385448993,0.0,0.0,5.203991556039874e-07,5.030241657305731e-07,1e-07,0.1357,0.005073881326875689,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.005,0.5,0.0,0.0
9,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.00198564074195111,9.159335287530296e-07,38.014460811594894,0.004947535385448993,0.0,0.0,5.203991556039874e-07,5.030241657305731e-07,1e-07,0.1357,0.005073881326875689,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.004334335676018015,0.5,0.0,0.0
10,5.004550251798753e-07,5e-07,1e-07,0.1357,0.005595974749192921,0.00198564074195111,9.159335287530296e-07,38.014460811594894,0.004947535385448993,0.0,0.0,5.203991556039874e-07,5.030241657305731e-07,1e-07,0.1357,0.005073881326875689,0.002,1e-06,0.0,0.0,5e-07,5e-07,1e-07,0.1357,0.005,0.002,1e-06,40.0,0.004334335676018015,0.42989590677895273,0.0,0.0
