,literature,substrate,kmValue,kmValueMaximum,commentary,organism,ecNumber,ligandStructureId
1,[748273],L-tyrosine,0.21,,"pH 8.8, 30&deg;C",Rhodotorula toruloides,4.3.1.25,109
3,[34355],L-Tyr,0.18,,,Rhodotorula toruloides,4.3.1.25,415
