,Time,m,p
0,0.0,0.0001,0.0001
1,10.0,0.0001686254027270706,0.00010148075399018288
2,20.0,0.00022766872169080704,0.00010881787387661438
3,30.0,0.0002784974069852817,0.00012047263269197526
4,40.0,0.0003222469639251584,0.00013524929010906632
5,50.0,0.0003599058791640199,0.0001521724853330017
6,60.0,0.0003923196010080781,0.00017047207046165305
7,70.0,0.00042021615521055074,0.00018953811012810024
8,80.0,0.0004442271725936079,0.00020888511243438387
9,90.0,0.0004648936532388031,0.00022814227587953167
10,100.0,0.00048268159862171616,0.00024702746067349174
11,110.0,0.0004979918925269765,0.00026533149911601604
12,120.0,0.0005111669115625145,0.00028290782625020925
13,130.0,0.0005225059544506248,0.00029964898872292066
14,140.0,0.0005322686219790928,0.0003154821160448308
15,150.0,0.0005406718574682544,0.00033037684218083
16,160.0,0.0005479046806311464,0.00034432137496294077
17,170.0,0.0005541294976952358,0.0003573223313186367
18,180.0,0.000559486600279557,0.00036939851984245646
19,190.0,0.0005640980057189639,0.00038057629339936197
20,200.0,0.0005680670951333981,0.0003908925464110972
21,210.0,0.0005714834542862551,0.0004003889765843342
22,220.0,0.0005744239271443911,0.0004091101924290901
23,230.0,0.0005769548623931064,0.0004171022767367579
24,240.0,0.0005791339411624487,0.00042441146393170276
25,250.0,0.0005810091977990216,0.00043108481606172
26,260.0,0.0005826229394448246,0.00043716777292592674
27,270.0,0.0005840119721131959,0.000442703992261165
28,280.0,0.0005852069397663061,0.0004477360000404879
29,290.0,0.0005862358161861482,0.0004523032672963505
30,300.0,0.0005871210771735293,0.0004564438843657122
31,310.0,0.0005878833681980403,0.0004601934624115086
32,320.0,0.0005885392483825655,0.0004635856107373619
33,330.0,0.0005891039020278267,0.0004666514769023564
34,340.0,0.0005895898250067227,0.0004694199622350014
35,350.0,0.0005900080570590601,0.0004719178621569285
36,360.0,0.0005903680837666857,0.0004741698050418655
37,370.0,0.0005906778920003583,0.00047619847851740706
38,380.0,0.0005909446443565853,0.0004780248329607642
39,390.0,0.0005911742062881701,0.0004796679446625255
40,400.0,0.0005913720613316744,0.00048114555643357634
41,410.0,0.0005915423022252973,0.00048247341841418164
42,420.0,0.0005916884075820042,0.0004836658413971817
43,430.0,0.0005918142295637145,0.00048473643585473733
44,440.0,0.0005919224988117654,0.00048569698994216
45,450.0,0.0005920155196318611,0.0004865581571538046
46,460.0,0.0005920957024408112,0.0004873301949580932
47,470.0,0.0005921647906918747,0.00048802185941783106
48,480.0,0.0005922242385046627,0.0004886410521779266
49,490.0,0.0005922755230917286,0.0004891954858770884
50,500.0,0.0005923196875329667,0.0004896916916210072
51,510.0,0.0005923577849689543,0.000490136228436493
52,520.0,0.0005923903080638416,0.0004905326636808075
53,530.0,0.0005924184240050139,0.0004908876473125673
54,540.0,0.0005924425802717039,0.0004912047954371213
55,550.0,0.0005924633354426322,0.0004914878810930832
56,560.0,0.0005924811739336596,0.0004917405725605306
57,570.0,0.0005924965748674676,0.0004919665247197947
58,580.0,0.000592509842131133,0.0004921682504753117
59,590.0,0.0005925212342378199,0.0004923479670386706
60,600.0,0.0005925310951288825,0.0004925084483401353
